"INDIVIDUAL_ID","MONTANDONI","VULGARIS","MARKER","SPECIES","CLEAR","HYBRID_ZONE"
"18591",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18592",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18593",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18594",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18655",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18656",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18657",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18658",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18659",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18660",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18661",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18662",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18663",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18664",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18665",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18666",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18667",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18668",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18669",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18670",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18671",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18672",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18673",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18674",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1890",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18927",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18928",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18929",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1893",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1894",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18951",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18952",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18953",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18954",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18955",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18956",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18957",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18958",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18959",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18960",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18961",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18962",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18963",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18964",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18965",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18966",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18967",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18968",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18969",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1897",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18970",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1898",1.00004000160006e-05,0.999989999599984,"> 20000 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1899",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1900",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1901",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1902",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1903",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19032",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19033",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19034",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19035",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19036",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19037",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19038",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19039",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1904",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19040",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19041",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19042",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19046",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19047",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19048",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19049",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1905",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"19050",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1906",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1907",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1908",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1910",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1911",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1912",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1913",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1914",1.00004000160006e-05,0.999989999599984,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1921",0.316625,0.683375,"2849 SNP","vulgaris",FALSE,"montandoni_vulgaris"
"1922",0.408026,0.591974,"2849 SNP","vulgaris",FALSE,"montandoni_vulgaris"
"1923",0.111794,0.888206,"2849 SNP","vulgaris",FALSE,"montandoni_vulgaris"
"1924",0.507015,0.492985,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
