"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"19481","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19482","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19483","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19484","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19485","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19486","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19487","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19488","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0,"VULGARIS",1,"Gdańsk-TPK2"
"19489","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19490","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-TPK2"
"19491","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19627","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19628","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19629","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19630","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19631","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19632","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19633","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19634","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19635","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19636","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19637","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.972,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19638","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.734,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19639","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19640","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19641","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19642","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19643","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19644","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19645","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19646","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Zakrzówek-1"
"19647","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19648","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19649","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19650","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19651","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19652","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19653","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19654","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19655","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19656","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19657","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.676,"VULGARIS",1,"Kraków-Liban-B-1"
"19658","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19659","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19660","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19661","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19662","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19663","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
"19664","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Liban-B-1"
