"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"astreptophora_helveticaAH","Haute-Garonne-Saint-Félix-Lauragais",1308.9,0,1,100,1,0.9,1,99.2,1,87.4,1
"helvetica_natrixHN3","Koper-Škocjanski-zatok",1566.3,100,2,62.9,2,95.6,2,97.65,2,97.6,5
"helvetica_natrixHN3","Ljubljansko-barje",1665.8,100,1,100,1,82.6,1,99.2,1,100,1
"helvetica_natrixHN3","Ljubljansko-barje-Bistra",1653.8,76.5,1,39.1,1,96.2,1,72,1,100,1
"helvetica_natrixHN3","Ljubljansko-barje-Log-pri-Brezovici",1661.2,91.6,1,56,1,92.5,1,85.2,1,100,1
"helvetica_natrixHN3","Ljubljansko-barje-Pako",1656.7,67.55,2,91.6,2,91.25,2,99.5,2,99.7,3
"helvetica_natrixHN4","Loire-Atlantique-Blain-Les-Brulais",39.9,0,1,0,1,3.3,1,0.5,1,0,2
"helvetica_natrixHN4","Loire-Atlantique-Bouvron-La-Renaudais",23.6,0,2,0,2,31.85,2,0.35,2,0,2
"helvetica_natrixHN4","Loire-Atlantique-Donges-Bois-Joubert",0,0,2,0,2,42.45,2,0.35,2,0,2
"helvetica_natrixHN4","Loire-Atlantique-Drefféac-Les-Landes-de-Bilais",15.2,0,2,0,2,2.4,2,0.35,2,0,41
"helvetica_natrixHN3","Lombardy-Pavia-Bereguardo-Zelata-di-Bereguardo",1056.7,0,1,0,1,81.2,1,16.3,1,1.7,1
"helvetica_natrixHN4","Lower-Saxony-Dannefeld",1722.3,100,1,92.4,1,93.6,1,99.2,1,100,1
"helvetica_natrixHN4","Lower-Saxony-Lachendorf",1651.6,45.15,2,100,2,11.65,2,99.2,2,99.4666666666667,3
"helvetica_natrixHN4","Lower-Saxony-Meißendorf",1625.7,100,1,91.4,1,84,1,99,1,99,1
"helvetica_natrixHN4","Lower-Saxony-Steinhuder-Meer",1544.2,40.55,2,95.65,2,42.2,2,99.15,2,97.5,2
"helvetica_natrixHN4","Lower-Saxony-near-Celle-Bannetzer-Moor",1618.1,100,1,64.3,1,89.7,1,56.7,1,99,1
"astreptophora_helveticaAH","Lugo-Lamas-de-Moreira",179,0,1,0,1,1.6,1,0.3,1,0.900000000000001,1
"helvetica_natrixHN3","Lukavci-near-Ljutomer",1876.4,56.15,2,100,2,94.15,2,99.3,2,100,4
"helvetica_natrixHN4","Mecklenburg-Western-Pomerania-3-km-E-Wesenberg",1976,100,2,100,2,92,2,98.25,2,99.7705882352941,17
"helvetica_natrixHN4","Mecklenburg-Western-Pomerania-Usedom",2148.6,95.8,2,100,2,94.3,2,99.15,2,99.75,2
"helvetica_natrixHN3","Mele",1877.1,100,1,100,1,82.2,1,99.4,1,100,1
"helvetica_natrixHN3","Murski-Petrovci",1879.3,100,2,98.55,2,94.2,2,99.4,2,98.5,2
"helvetica_natrixHN4","North-Rhine-Westphalia-Dortmund",1284.4,0,2,26.8,2,3.2,2,10.85,2,0.75,2
"helvetica_natrixHN4","North-Rhine-Westphalia-Dortmund-Kirchderne",1292.4,0,1,3.3,1,3.6,1,0.4,1,0.6,1
"helvetica_natrixHN4","North-Rhine-Westphalia-Herne",1261.1,23.85,2,30.2,2,3.9,2,1.95,2,2.95,2
"helvetica_natrixHN4","North-Rhine-Westphalia-Mettmann-Neandertal",1208,100,2,90.85,2,84.7,2,99,2,100,10
"helvetica_natrixHN4","North-Rhine-Westphalia-Much",1222.2,50,2,26.4,2,43.05,2,1.55,2,1.025,4
"helvetica_natrixHN4","North-Rhine-Westphalia-Rösrath",1194.8,24.7,1,27.1,1,3.1,1,0.6,1,1,1
"helvetica_natrixHN4","North-Rhine-Westphalia-Wesel",1214.6,100,1,46.1,1,24.5,1,3.3,1,3,1
"helvetica_natrixHN4","North-Rhine-Westphalia-Wuppertal-Kohlfurt",1219.5,29.65,2,69.8,2,42.3,2,52.25,2,1.255,20
"helvetica_natrixHN4","North-Rhine-Westphalia-Wuppertal-Neu-Dornap",1218.8,0,1,41.8,1,2.2,1,7.5,1,0,1
"helvetica_natrixHN4","North-Rhine-Westphalia-between-Ammelsbüren-and-Davensberg",1327.6,20.6,2,74.5,2,3.5,2,56.05,2,1.132,25
"helvetica_natrixHN4","North-Rhine-Westphalia-between-Ratingen-and-Düsseldorf",1201.5,51.6,1,0,1,10,1,1.8,1,0,1
"helvetica_natrixHN3","Piedmont-Torino-Venaria-Reale",901.2,0,1,0,1,98.3,1,48.3,1,0.7,1
"helvetica_natrixHN3","Podlipa",1648.1,100,1,67.3,1,88.9,1,96.7,1,99.1,1
"helvetica_natrixHN3","Pragersko",1817.4,0,1,97.6,1,63.7,1,99,1,100,1
"helvetica_natrixHN3","Puy-de-Dôme-near-Murol-Monneaux",373.4,0,1,0,1,3.4,1,0.3,1,0,1
"astreptophora_helveticaAH","Pyrénées-Orientales-Bolquere",1209.6,0,1,26.6,1,1.8,1,0.4,1,0.700000000000001,1
"helvetica_natrixHN3","Rusovce",2100.6,100,2,99.15,2,91.35,2,99.4,2,100,2
"astreptophora_helveticaAH","Salamanca-Las-Batuecas-Sierra-de-Francia",270.1,0,1,0,1,1.8,1,0.3,1,1.4,1
"helvetica_natrixHN2","Saône-et-Loire-Etang-neuf",659.3,0,2,0,2,42.6,2,0.45,2,0,3
"helvetica_natrixHN2","Saône-et-Loire-Le-Rousset",663.8,91.6,1,1.5,1,92.4,1,1.2,1,0,1
"helvetica_natrixHN3","Sentjur",1777.3,12.3,1,100,1,96.5,1,98.9,1,100,1
"helvetica_natrixHN3","Slovenia-Divača",1598.6,70.8,1,78.7,1,95.3,1,98.2,1,100,1
"helvetica_natrixHN2","St-Gallen-Lake-Constance-near-Thal",1238.6,100,1,100,1,96.2,1,98.5,1,77.8,1
"helvetica_natrixHN2","St-Gallen-Oberuzwil",1189.1,50,2,40.7,2,84.6,2,34.15,2,95.6714285714286,14
"helvetica_natrixHN2","Thurgau-Aadorf",1173.8,79.2,1,NA,NA,53.3,1,NA,NA,68.4333333333333,6
"helvetica_natrixHN2","Upper-Silesia-Kotórz-Wielki",2333.8,100,2,100,2,92.1,2,99.2,2,100,2
"helvetica_natrixHN2","Upper-Silesia-SE-Opole",2335.3,100,1,100,1,73.9,1,99.3,1,100,1
"helvetica_natrixHN4","Usedom",2156.6,72.35,4,100,4,85.8,4,99.05,4,100,4
"helvetica_natrixHN4","Usedom",2156.6,72.35,4,100,4,85.8,4,99.05,4,100,4
"astreptophora_helveticaAH","Vaud-Vinzel",1987.3,36.6,1,100,1,3.3,1,99.6,1,99.501246882793,1
"helvetica_natrixHN3","Veneto-Treviso-Bagaggiolo-Roncade",1438.5,87,1,57.9,1,98.1,1,96.7,1,57.1,1
"helvetica_natrixHN3","Veneto-Venezia-Ca-Noghera",1430.7,70.7,1,56.3,1,99,1,97.8,1,96.1,1
"helvetica_natrixHN3","Veneto-Venezia-Cavallino-Treporti-Punta-Sabbioni",1431.3,100,1,7.1,1,92.6,1,72.2,1,47.2,1
"helvetica_natrixHN3","Veneto-Venezia-Malcontenta-Mira",1412.1,100,1,64.6,1,99.1,1,98.6,1,60.8,1
"helvetica_natrixHN3","Veneto-Venezia-Marcon-Gaggio-Cave-di-Gaggio-Nord",1430.7,100,2,53.5,2,95.7,2,96.95,2,99.55,2
"helvetica_natrixHN3","Veneto-Venezia-Marcon-Praello",1427.1,0,1,57.9,1,79.7,1,95.7,1,99.7,1
"helvetica_natrixHN3","Veneto-Venezia-Porto-Marghera",1414.6,100,1,50.7,1,85.8,1,97.2,1,87.95,6
"helvetica_natrixHN3","Vienna",2025.8,100,2,100,2,89.6,2,99.45,2,100,2
"helvetica_natrixHN3","Vienna-Danube-Island",2044.6,100,1,100,1,96.5,1,98.5,1,100,4
"helvetica_natrixHN3","Zadolje",1665.8,73.5,1,86.9,1,93.6,1,97.8,1,94,1
"helvetica_natrixHN2","Zurich-Dubendorf",1141.9,45.8,2,40.15,2,50.5,2,58.05,2,2.55,8
"helvetica_natrixHN2","Zurich-Neerach",1133.2,62.8,4,54.125,4,67,4,47.625,4,81.9375,8
"helvetica_natrixHN2","Zurich-Zell",1137.1,0,1,69.2,1,91.5,1,52.7,1,53.8694229333429,14
"helvetica_natrixHN2","Zurich-Zurich-Affoltern",1130,50,2,13.7,2,81.3,2,6.1,2,8.67247346562067,4
"astreptophora_helveticaAH","between-Neuchâtel-Bern-and-Biel-Grosses-Moos",2115.6,50,2,100,2,50.1,2,99.45,2,98.2161651687184,2
"helvetica_natrixHN3","near-Bled-Kreda-pond",1667.6,0,1,73.7,1,91.7,1,89.6,1,99.8,1
"helvetica_natrixHN3","near-Maribor-Cigonca-Forest",1807.4,69.2,1,86.1,1,96.5,1,85.4,1,100,1
"helvetica_natrixHN2","Čepice",1774.3,100,1,83.5,1,98.1,1,82,1,99.3,1
"helvetica_natrixHN2","Aargau-Bad-Zurzach",1120.7,NA,NA,NA,NA,NA,NA,NA,NA,82.32,20
"helvetica_natrixHN2","Aargau-Brugg",1106.6,NA,NA,NA,NA,NA,NA,NA,NA,0.649733865602129,6
"helvetica_natrixHN2","Aargau-Gippingen",1113,NA,NA,NA,NA,NA,NA,NA,NA,4.48420597868401,10
"helvetica_natrixHN2","Aargau-Klingnau",1114.5,NA,NA,NA,NA,NA,NA,NA,NA,0.65,2
"helvetica_natrixHN2","Aargau-Merenschwand",1104,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2
"helvetica_natrixHN2","Aargau-Rottenschwil",1108.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6497002997003,2
"astreptophora_helveticaAH","Ardeche-N-Tournon-sur-Rhône",1715.9,NA,NA,NA,NA,NA,NA,NA,NA,99.1031390134529,1
"astreptophora_helveticaAH","Ariege-Léran",1260.7,NA,NA,NA,NA,NA,NA,NA,NA,52.9,1
"astreptophora_helveticaAH","Ariege-Rouze",1241.8,NA,NA,NA,NA,NA,NA,NA,NA,13.2,1
"astreptophora_helveticaAH","Ariege-Savignac-les-Ormeaux",1221.5,NA,NA,NA,NA,NA,NA,NA,NA,96.6,1
"astreptophora_helveticaAH","Asturias-Santa-Eugenia",371.6,NA,NA,NA,NA,NA,NA,NA,NA,0.800000000000001,1
"astreptophora_helveticaAH","Asturias-Urbiés",335.8,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"astreptophora_helveticaAH","Aude-Couffoulens",1309.2,NA,NA,NA,NA,NA,NA,NA,NA,64.2,1
"astreptophora_helveticaAH","Aude-Mireval-Lauragais",1295.2,NA,NA,NA,NA,NA,NA,NA,NA,51,1
"astreptophora_helveticaAH","Aveyron-Peyrusse-le-Roc",1451.1,NA,NA,NA,NA,NA,NA,NA,NA,99.8003992015968,2
"helvetica_natrixHN2","Baden-Württemberg-Bad-Ueberkingen",1345.2,NA,NA,NA,NA,NA,NA,NA,NA,99,1
"helvetica_natrixHN2","Baden-Württemberg-Bad-Wurzach",1303.3,NA,NA,NA,NA,NA,NA,NA,NA,97.3,2
"helvetica_natrixHN2","Baden-Württemberg-Berau",1122.6,NA,NA,NA,NA,NA,NA,NA,NA,66,1
"helvetica_natrixHN2","Baden-Württemberg-Bermatingen-Hofgut-Wiggenweiler",1238.1,NA,NA,NA,NA,NA,NA,NA,NA,92.5,3
"helvetica_natrixHN2","Baden-Württemberg-Bopfingen-Rohrbachsiedlung",1423,NA,NA,NA,NA,NA,NA,NA,NA,98.8,1
"helvetica_natrixHN2","Baden-Württemberg-Böhringer-See",1197,NA,NA,NA,NA,NA,NA,NA,NA,83.15,2
"helvetica_natrixHN2","Baden-Württemberg-Degersee-near-Wettis",1256.1,NA,NA,NA,NA,NA,NA,NA,NA,83.2,1
"helvetica_natrixHN2","Baden-Württemberg-Filderstadt-Bonlanden-Hof-Gutenhalde",1291,NA,NA,NA,NA,NA,NA,NA,NA,97.9,1
"helvetica_natrixHN2","Baden-Württemberg-Filderstadt-Plattenhardt",1288.9,NA,NA,NA,NA,NA,NA,NA,NA,99.5,1
"helvetica_natrixHN2","Baden-Württemberg-Geislingen-a-d-St-NSG-Rohrachtal",1349.3,NA,NA,NA,NA,NA,NA,NA,NA,96.95,2
"helvetica_natrixHN2","Baden-Württemberg-Hechingen",1240,NA,NA,NA,NA,NA,NA,NA,NA,78.2666666666667,3
"helvetica_natrixHN2","Baden-Württemberg-Herten-Degerfelden",1061.8,NA,NA,NA,NA,NA,NA,NA,NA,2.9600394671929,1
"helvetica_natrixHN2","Baden-Württemberg-Hochdorf-Gewann-Eisenwinkel",1319.2,NA,NA,NA,NA,NA,NA,NA,NA,99.3,1
"helvetica_natrixHN2","Baden-Württemberg-Karlsruhe-between-Staffort-and-Weingarten",1253.5,NA,NA,NA,NA,NA,NA,NA,NA,6.22871046228711,1
"helvetica_natrixHN2","Baden-Württemberg-Laufenburg-Grunholz",1098.6,NA,NA,NA,NA,NA,NA,NA,NA,27,1
"helvetica_natrixHN2","Baden-Württemberg-Linkenheim-",1247.7,NA,NA,NA,NA,NA,NA,NA,NA,0.702811244979919,1
"helvetica_natrixHN2","Baden-Württemberg-Litzenstetten",1217,NA,NA,NA,NA,NA,NA,NA,NA,87.2,1
"helvetica_natrixHN2","Baden-Württemberg-Ludwigsburg",1307,NA,NA,NA,NA,NA,NA,NA,NA,94.8,1
"helvetica_natrixHN2","Baden-Württemberg-Neckartal-Feuerbergtunnel",1295.2,NA,NA,NA,NA,NA,NA,NA,NA,81.3,2
"helvetica_natrixHN2","Baden-Württemberg-Neckartal-near-Lanzenbach",1393.8,NA,NA,NA,NA,NA,NA,NA,NA,91.6,1
"helvetica_natrixHN2","Baden-Württemberg-Oberweissach",1340.1,NA,NA,NA,NA,NA,NA,NA,NA,81.65,2
"helvetica_natrixHN2","Baden-Württemberg-Ohmden-Jesingen",1319.4,NA,NA,NA,NA,NA,NA,NA,NA,98.7,1
"helvetica_natrixHN2","Baden-Württemberg-Radolfzell-Aachried",1194,NA,NA,NA,NA,NA,NA,NA,NA,64,1
"helvetica_natrixHN2","Baden-Württemberg-Stuttgart",1297.3,NA,NA,NA,NA,NA,NA,NA,NA,96.2,1
"helvetica_natrixHN2","Baden-Württemberg-Stuttgart-Botnang",1291,NA,NA,NA,NA,NA,NA,NA,NA,99.4,1
"helvetica_natrixHN2","Baden-Württemberg-Stuttgart-Feuerbach",1297.6,NA,NA,NA,NA,NA,NA,NA,NA,80.9,1
"helvetica_natrixHN2","Baden-Württemberg-Stuttgart-Hohenheim",1296.1,NA,NA,NA,NA,NA,NA,NA,NA,99,1
"helvetica_natrixHN2","Baden-Württemberg-Stuttgart-Hohenheim-Uni-Campus-Eiszeitsee",1295.3,NA,NA,NA,NA,NA,NA,NA,NA,91,1
"helvetica_natrixHN2","Baden-Württemberg-Stuttgart-Vaihingen",1286.4,NA,NA,NA,NA,NA,NA,NA,NA,84,1
