"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"montandoni_vulgarisL","HI","pMin",0.423915469161103,"main"
"montandoni_vulgarisL","HI","pMax",0.899641997308204,"main"
"montandoni_vulgarisL","HI","center",43.0452081464509,"high"
"montandoni_vulgarisL","HI","center",47.9034334915052,"low"
"montandoni_vulgarisL","HI","width",0.00440696377525351,"high"
"montandoni_vulgarisL","HI","width",9.63824541313524,"low"
"montandoni_vulgarisL","HI","pMin",0.368561014979905,"high"
"montandoni_vulgarisL","HI","pMin",0.460082541002495,"low"
"montandoni_vulgarisL","HI","pMax",0.843199629333345,"high"
"montandoni_vulgarisL","HI","pMax",0.95147575045207,"low"
"montandoni_vulgarisL","HII","center",58.184408943294,"main"
"montandoni_vulgarisL","HII","width",50.5489976948487,"main"
"montandoni_vulgarisL","HII","pMin",0.232079775035164,"main"
"montandoni_vulgarisL","HII","pMax",0.98248232820621,"main"
"montandoni_vulgarisL","HII","center",50.0810495946316,"high"
"montandoni_vulgarisL","HII","center",68.5366931889422,"low"
"montandoni_vulgarisL","HII","width",23.7584565359979,"high"
"montandoni_vulgarisL","HII","width",129.006985378181,"low"
"montandoni_vulgarisL","HII","pMin",0.000450474606719944,"high"
"montandoni_vulgarisL","HII","pMin",0.353256190897428,"low"
"montandoni_vulgarisL","HII","pMax",0.910082815262149,"high"
"montandoni_vulgarisL","HII","pMax",0.999710845479006,"low"
"montandoni_vulgarisL","QI","center",43.9544275323993,"main"
"montandoni_vulgarisL","QI","width",1.22232736015784,"main"
"montandoni_vulgarisL","QI","pMin",0.54181680155376,"main"
"montandoni_vulgarisL","QI","pMax",0.954227699657487,"main"
"montandoni_vulgarisL","QI","center",43.0281733720648,"high"
"montandoni_vulgarisL","QI","center",46.2966741319128,"low"
"montandoni_vulgarisL","QI","width",2.46673071316872e-05,"high"
"montandoni_vulgarisL","QI","width",5.45324223642373,"low"
"montandoni_vulgarisL","QI","pMin",0.48846990345047,"high"
"montandoni_vulgarisL","QI","pMin",0.583853271048154,"low"
"montandoni_vulgarisL","QI","pMax",0.916595784127315,"high"
"montandoni_vulgarisL","QI","pMax",0.979311357885249,"low"
"montandoni_vulgarisL","Q2","center",43.3988426892548,"main"
"montandoni_vulgarisL","Q2","width",0.406999390464627,"main"
"montandoni_vulgarisL","Q2","pMin",0.489955948397923,"main"
"montandoni_vulgarisL","Q2","pMax",0.859419781030131,"main"
"montandoni_vulgarisL","Q2","center",42.9959430121382,"high"
"montandoni_vulgarisL","Q2","center",46.3232813347984,"low"
