HYBRID_ZONE,LOCALITY,DISTANCE,H_INDEX_I,nSamples_H_I,H_INDEX_II,nSamples_H_II,Q_INDEX_I,nSamples_Q_I,Q_INDEX_II,nSamples_Q_II,genomic,nSamples_genomic
montandoni_vulgarisR,Mănăşturel,160.9,97.59,20,100,2,94.765,20,72.2,5,99.9989999599984,23
montandoni_vulgarisL,Osava1,42.7,52.55,26,24.1461538461538,26,58.4807692307692,26,49.6807692307692,26,23.9026266666667,15
montandoni_vulgarisL,Osava2,42,92.5,4,100,4,98.575,4,97.475,4,93.16695,4
montandoni_vulgarisL,Osava3,41.2,66.6294117647059,17,74.0588235294118,17,86.8470588235294,17,81.6823529411765,17,82.1323066666667,15
montandoni_vulgarisL,Osava4,40.2,42.8470588235294,17,39.6235294117647,17,58.9058823529412,17,53.8529411764706,17,37.0713,10
montandoni_vulgarisR,Pecica1,472.9,100,3,100,3,98.2,3,87.7666666666667,3,99.9989999599984,3
montandoni_vulgarisR,Pecica2,463,99.42,5,93.5,5,97,5,82.12,5,100,5
montandoni_vulgarisR,Peştiş1,331,100,4,100,4,77.475,4,52,4,99.9989999599984,4
montandoni_vulgarisL,Peştiş2,242.7,100,1,100,1,98.4,1,37.8,1,100,1
montandoni_vulgarisR,Peştiş2,331,100,1,100,1,98.4,1,37.8,1,100,1
montandoni_vulgarisT,Poienari,97.6,92.8,9,100,9,98.9333333333333,9,98.7666666666667,9,99.6771333333333,9
montandoni_vulgarisL,Posich1,49.2,68.6,2,50,2,97.7,2,86.65,2,83.73635,2
montandoni_vulgarisL,Posich2,49,87.4,8,69.65,8,98.0875,8,94.025,8,88.1806,8
montandoni_vulgarisL,Posich3,49.4,84.7083333333333,12,46.4333333333333,12,98.7416666666667,12,91.6916666666667,12,91.0642333333333,12
montandoni_vulgarisL,Posich4,49.7,83.74,15,44.6933333333333,15,99.0333333333333,15,84.7866666666667,15,95.2311133333333,15
montandoni_vulgarisL,Posich5,46.5,75.9307692307692,13,46.1615384615385,13,99.3461538461539,13,86.8,13,92.1613230769231,13
montandoni_vulgarisS,Păltinoasa1,123.1,91.76875,16,93.75,16,86.70625,16,86.8375,16,92.1151866666667,15
montandoni_vulgarisS,Păltinoasa10,119.9,96.3846153846154,13,97.0461538461538,13,95.7538461538462,13,81.2384615384615,13,98.4399461538462,13
montandoni_vulgarisS,Păltinoasa11,117.3,70.565,20,26.225,20,2.05,20,23.91,20,0.479009999999998,10
montandoni_vulgarisS,Păltinoasa2,118.9,67.9214285714286,28,50.9571428571429,28,9.69285714285714,28,25.9071428571429,28,13.7747933333333,15
montandoni_vulgarisS,Păltinoasa3,117.8,71.1107142857143,28,53.2178571428571,28,6.825,28,14.8214285714286,28,0.458485714285712,14
montandoni_vulgarisS,Păltinoasa4,119,70.7866666666667,30,48.56,30,6.67333333333333,30,24.88,30,0.334519999999999,15
montandoni_vulgarisS,Păltinoasa5,120.9,92.9076923076923,13,65.8769230769231,13,70.1769230769231,13,68.8538461538461,13,81.3489909090909,11
montandoni_vulgarisS,Păltinoasa6,122,78.65,6,83.3333333333333,6,37.2166666666667,6,43.4833333333333,6,40.084825,4
montandoni_vulgarisR,Păuloaia1,49.7,96.1727272727273,11,90.9090909090909,11,93.5545454545455,11,97.1454545454545,11,96.9973272727273,11
montandoni_vulgarisR2,Remetea1,56.1,91.9333333333333,15,85.7142857142857,14,0.626666666666667,15,44.7285714285714,14,96.0875866666667,15
montandoni_vulgarisR2,Remetea2,62,91.71875,16,81.25,16,1.1625,16,30.03125,16,88.42612,15
montandoni_vulgarisR,Remetea4,0,77.18,10,57.99,10,3.06,10,18.03,10,11.41134,5
montandoni_vulgarisR2,Remetea5,60.5,93.9666666666667,15,100,15,0.693333333333333,15,32.3066666666667,15,92.0108466666667,15
montandoni_vulgarisR2,Remetea6,45.8,94.8166666666667,6,83.3333333333333,6,0.716666666666667,6,8.43333333333333,6,95.4341,6
montandoni_vulgarisR2,Remetea7,59.6,98.275,4,100,4,0.925,4,26.725,4,95.50815,4
montandoni_vulgarisR2,Remetea8,52.9,95.8666666666667,15,100,15,1.02,15,26.4066666666667,15,96.9489133333333,15
montandoni_vulgarisR2,Remetea9,54.1,94.8,2,100,2,1.25,2,50.3,2,97.1386,2
montandoni_vulgarisS,Sadova,73.6,67.2,30,39.5033333333333,30,8.41666666666667,30,24.86,30,0.0740199999999969,16
montandoni_vulgarisL,Salicea,305.6,100,1,NA,NA,84.9,1,NA,NA,100,1
montandoni_vulgarisR,Salicea,201.7,100,1,NA,NA,84.9,1,NA,NA,100,1
montandoni_vulgarisL,Salicea2,305.1,100,3,100,3,95.6333333333333,3,93.475,4,100,4
montandoni_vulgarisR,Salicea2,201.3,100,3,100,3,95.6333333333333,3,93.475,4,100,4
