"INDIVIDUAL_ID","LOCALITY","COUNTRY","LATITUDE","N_S","LONGITUDE","E_W"
"17274","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17275","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17276","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17277","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17278","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17279","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17280","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17281","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17282","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17283","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17284","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17285","Petrovice","Czech Republic",50.224,"N",17.438,"E"
"17286","Petrovice","Czech Republic",50.224,"N",17.438,"E"
"17287","Petrovice","Czech Republic",50.224,"N",17.438,"E"
"17288","Petrovice","Czech Republic",50.224,"N",17.438,"E"
"17289","Dívčí-Hrad-Sádek","Czech Republic",50.252,"N",17.639,"E"
"17290","Dívčí-Hrad-Sádek","Czech Republic",50.252,"N",17.639,"E"
"17291","Dívčí-Hrad-Sádek","Czech Republic",50.252,"N",17.639,"E"
"17292","Heřmanovice-1","Czech Republic",50.209,"N",17.41,"E"
"17293","Heřmanovice-1","Czech Republic",50.209,"N",17.41,"E"
"17294","Heřmanovice-1","Czech Republic",50.209,"N",17.41,"E"
"17295","Heřmanovice-1","Czech Republic",50.209,"N",17.41,"E"
"17296","Heřmanovice-1","Czech Republic",50.209,"N",17.41,"E"
"17297","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17298","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17299","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17300","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17302","Otice","Czech Republic",49.91,"N",17.86,"E"
"17303","Krasov","Czech Republic",50.091,"N",17.549,"E"
"17304","Javoříčko-Špraněk","Czech Republic",49.67,"N",16.91,"E"
"17305","Bouzov-Kadeřín","Czech Republic",49.666,"N",16.878,"E"
"17306","Kadeřín","Czech Republic",50.522,"N",16.21,"E"
"17307","Hronov","Czech Republic",50.484,"N",16.188,"E"
"17308","Bludov","Czech Republic",49.95,"N",16.93,"E"
"17309","Zlaté-Hory-Maria-Hilf","Czech Republic",50.22,"N",17.39,"E"
"17310","Partutovice","Czech Republic",49.65,"N",17.71,"E"
"17311","Karlova-Studánka-2","Czech Republic",50.07,"N",17.362,"E"
"17312","Karlova-Studánka-2","Czech Republic",50.07,"N",17.362,"E"
"17313","Světlá-Hora","Czech Republic",50.041,"N",17.382,"E"
"17314","Dětřichov-nad-Bystřicí-2","Czech Republic",49.845,"N",17.384,"E"
"17315","Roudno-2","Czech Republic",49.905,"N",17.512,"E"
"17316","Jívová","Czech Republic",49.705,"N",17.389,"E"
"17317","Jívová","Czech Republic",49.705,"N",17.389,"E"
"17318","Libavá","Czech Republic",49.722,"N",17.528,"E"
"17319","Klokočůvek-2","Czech Republic",49.722,"N",17.72,"E"
"17320","Moravský-Kočov","Czech Republic",49.957,"N",17.442,"E"
"17321","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17322","Šternberk-2","Czech Republic",49.783,"N",17.314,"E"
"17323","Bruntál-3","Czech Republic",49.977,"N",17.433,"E"
"17324","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17325","Domašov-nad-Bystřicí","Czech Republic",49.743,"N",17.443,"E"
"17326","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17327","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17328","Zlaté-Hory-Dolní-Údolí","Czech Republic",50.225,"N",17.345,"E"
"17329","Petrovice","Czech Republic",50.224,"N",17.438,"E"
"17330","Dívčí-Hrad-Sádek","Czech Republic",50.252,"N",17.639,"E"
"17331","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17078","Kunčice-pod-Ondřejníkem","Czech Republic",49.537,"N",18.295,"E"
"17301","Hlubočec","Czech Republic",49.85,"N",17.98,"E"
"25432","Anguis_1","Poland",52.602667,"N",16.038824,"E"
"25433","Anguis_2","Poland",52.552706,"N",16.54829,"E"
"25434","Anguis_3","Poland",52.55743,"N",16.54281,"E"
"25435","Anguis_4","Poland",53.78919,"N",17.065961,"E"
"25436","Anguis_5","Poland",53.791179,"N",17.559584,"E"
"25437","Anguis_6","Poland",53.951435,"N",17.533426,"E"
"25438","Anguis_7","Poland",54.706369,"N",17.240172,"E"
"25439","Anguis_8","Poland",54.75923,"N",17.662649,"E"
"25440","Anguis_9","Poland",54.822247,"N",17.9974,"E"
