"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"cristatus_macedonicus","Jezero-Ploce",37.2640954100767,48.5,1,73.5,1,99.5,1,98.7,1,99.8670801761375,3
"ivanbureschi_macedonicus","Jezero-Ploce",31.0493705880914,36.5,1,100,1,99.6,1,98.7,1,75.3807615230461,3
"anatolicus_ivanbureschi","Karacabey",21.7361992453813,60.4666666666667,3,32.1,3,80.2333333333333,3,51.8,3,99.8993495629254,3
"cristatus_ivanbureschi","Karacabey",492.39898174654,100,3,100,3,99.7666666666667,3,39.4666666666667,3,99.8993495629254,3
"ivanbureschi_macedonicus","Karacabey",-467.377029555681,0,3,0,3,0.266666666666667,3,1.53333333333333,3,0.100650437074592,3
"anatolicus_ivanbureschi","Karakoç",-257.085235513983,0,3,0,3,0.3,3,10.3,3,0.113333333333333,15
"cristatus_macedonicus","Karan2",129.116308413425,57.5333333333333,3,73.5,3,99.9,3,98.9666666666667,3,99.8758576515381,3
"ivanbureschi_macedonicus","Karan2",26.1483742087697,35.9333333333333,3,100,3,99.6333333333333,3,98.5666666666667,3,94.0938367963998,3
"anatolicus_ivanbureschi","Karlovo",385.446121736516,100,3,92.8666666666667,3,99.7666666666667,3,91.6,3,100,3
"cristatus_ivanbureschi","Karlovo",95.2424548837645,95.3333333333333,3,100,3,99.8,3,63.7,3,99.8998998998999,3
"ivanbureschi_macedonicus","Karlovo",-183.939954367523,2,3,0,3,0.266666666666667,3,1.1,3,0.1001001001001,3
"anatolicus_ivanbureschi","Kentriko2",485.149584530535,100,1,100,1,99.7,1,95.15,2,99.8974140655706,4
"cristatus_ivanbureschi","Kentriko2",201.98542061685,100,1,100,1,99.8,1,95.85,2,99.8974140655706,4
"ivanbureschi_macedonicus","Kentriko2",-9.5820136281122,0,1,0,1,0.1,1,1.25,2,2.3655001481044,4
"cristatus_macedonicus","Kerameia",396.56365098839,100,3,100,3,99.8333333333333,3,98.7,3,99.8997995991984,3
"ivanbureschi_macedonicus","Kerameia",125.856933213655,100,3,100,3,99.8333333333333,3,98.2333333333333,3,99.8997995991984,3
"anatolicus_ivanbureschi","Kesan",172.97556211113,92.6666666666667,3,89.3,3,99.1333333333333,3,86.7,3,99.8832689971264,12
"cristatus_ivanbureschi","Kesan",338.076692953685,100,3,100,3,99.9,3,48.4666666666667,3,99.9749356637931,12
"ivanbureschi_macedonicus","Kesan",-320.782060030517,0,3,0,3,0.1,3,1.2,3,0.0250643362069463,12
