FID,ID,TRANSECT,DISTANCE
"771","1",A,77000
"772","1",A,77100
"773","1",A,77200
"774","1",A,77300
"775","1",A,77400
"776","1",A,77500
"777","1",A,77600
"778","1",A,77700
"779","1",A,77800
"780","1",A,77900
"781","1",A,78000
"782","1",A,78100
"783","1",A,78200
"784","1",A,78300
"785","1",A,78400
"786","1",A,78500
"787","1",A,78600
"788","1",A,78700
"789","1",A,78800
"790","1",A,78900
"791","1",A,79000
"792","1",A,79100
"793","1",A,79200
"794","1",A,79300
"795","1",A,79400
"796","1",A,79500
"797","1",A,79600
"798","1",A,79700
"799","1",A,79800
"800","1",A,79900
"801","1",A,80000
"802","1",A,80100
"803","1",A,80200
"804","1",A,80300
"805","1",A,80400
"806","1",A,80500
"807","1",A,80600
"808","1",A,80700
"809","1",A,80800
"810","1",A,80900
"811","1",A,81000
"812","1",A,81100
"813","1",A,81200
"814","1",A,81300
"815","1",A,81400
"816","1",A,81500
"817","1",A,81600
"818","1",A,81700
"819","1",A,81800
"820","1",A,81900
"821","1",A,82000
"822","1",A,82100
"823","1",A,82200
"824","1",A,82300
"825","1",A,82400
"826","1",A,82500
"827","1",A,82600
"828","1",A,82700
"829","1",A,82800
"830","1",A,82900
"831","1",A,83000
"832","1",A,83100
"833","1",A,83200
"834","1",A,83300
"835","1",A,83400
"836","1",A,83500
"837","1",A,83600
"838","1",A,83700
"839","1",A,83800
"840","1",A,83900
"841","1",A,84000
"842","1",A,84100
"843","1",A,84200
"844","1",A,84300
"845","1",A,84400
"846","1",A,84500
"847","1",A,84600
"848","1",A,84700
"849","1",A,84800
"850","1",A,84900
"851","1",A,85000
"852","1",A,85100
"853","1",A,85200
"854","1",A,85300
"855","1",A,85400
"856","1",A,85500
"857","1",A,85600
"858","1",A,85700
"859","1",A,85800
"860","1",A,85900
"861","1",A,86000
"862","1",A,86100
"863","1",A,86200
"864","1",A,86300
"865","1",A,86400
"866","1",A,86500
"867","1",A,86600
"868","1",A,86700
"869","1",A,86800
"870","1",A,86900
"871","1",A,87000
"872","1",A,87100
"873","1",A,87200
"874","1",A,87300
"875","1",A,87400
"876","1",A,87500
"877","1",A,87600
"878","1",A,87700
"879","1",A,87800
"880","1",A,87900
"881","1",A,88000
"882","1",A,88100
"883","1",A,88200
"884","1",A,88300
"885","1",A,88400
"886","1",A,88500
"887","1",A,88600
"888","1",A,88700
"889","1",A,88800
"890","1",A,88900
"891","1",A,89000
"892","1",A,89100
"893","1",A,89200
"894","1",A,89300
"895","1",A,89400
"896","1",A,89500
"897","1",A,89600
"898","1",A,89700
"899","1",A,89800
"900","1",A,89900
"901","1",A,90000
"902","1",A,90100
"903","1",A,90200
"904","1",A,90300
"905","1",A,90400
"906","1",A,90500
"907","1",A,90600
"908","1",A,90700
"909","1",A,90800
"910","1",A,90900
"911","1",A,91000
"912","1",A,91100
"913","1",A,91200
"914","1",A,91300
"915","1",A,91400
"916","1",A,91500
"917","1",A,91600
"918","1",A,91700
"919","1",A,91800
"920","1",A,91900
"921","1",A,92000
"922","1",A,92100
"923","1",A,92200
"924","1",A,92300
"925","1",A,92400
"926","1",A,92500
"927","1",A,92600
"928","1",A,92700
"929","1",A,92800
"930","1",A,92900
"931","1",A,93000
"932","1",A,93100
"933","1",A,93200
"934","1",A,93300
"935","1",A,93400
"936","1",A,93500
"937","1",A,93600
"938","1",A,93700
"939","1",A,93800
"940","1",A,93900
"941","1",A,94000
"942","1",A,94100
"943","1",A,94200
"944","1",A,94300
"945","1",A,94400
"946","1",A,94500
"947","1",A,94600
"948","1",A,94700
"949","1",A,94800
"950","1",A,94900
"951","1",A,95000
"952","1",A,95100
"953","1",A,95200
"954","1",A,95300
"955","1",A,95400
"956","1",A,95500
"957","1",A,95600
"958","1",A,95700
"959","1",A,95800
"960","1",A,95900
"961","1",A,96000
"962","1",A,96100
"963","1",A,96200
"964","1",A,96300
"965","1",A,96400
"966","1",A,96500
"967","1",A,96600
"968","1",A,96700
"969","1",A,96800
"970","1",A,96900
"971","1",A,97000
"972","1",A,97100
"973","1",A,97200
"974","1",A,97300
"975","1",A,97400
"976","1",A,97500
"977","1",A,97600
"978","1",A,97700
"979","1",A,97800
"980","1",A,97900
"981","1",A,98000
"982","1",A,98100
"983","1",A,98200
"984","1",A,98300
"985","1",A,98400
"986","1",A,98500
"987","1",A,98600
"988","1",A,98700
"989","1",A,98800
"990","1",A,98900
"991","1",A,99000
"992","1",A,99100
"993","1",A,99200
"994","1",A,99300
"995","1",A,99400
"996","1",A,99500
"997","1",A,99600
"998","1",A,99700
"999","1",A,99800
"1000","1",A,99900
"1001","1",A,100000
"1002","1",A,100100
"1003","1",A,100200
"1004","1",A,100300
"1005","1",A,100400
"1006","1",A,100500
"1007","1",A,100600
"1008","1",A,100700
"1009","1",A,100800
"1010","1",A,100900
"1011","1",A,101000
"1012","1",A,101100
"1013","1",A,101200
"1014","1",A,101300
"1015","1",A,101400
"1016","1",A,101500
"1017","1",A,101600
"1018","1",A,101700
"1019","1",A,101800
"1020","1",A,101900
"1021","1",A,102000
"1022","1",A,102100
"1023","1",A,102200
"1024","1",A,102300
"1025","1",A,102400
"1026","1",A,102500
"1027","1",A,102600
"1028","1",A,102700
"1029","1",A,102800
"1030","1",A,102900
"1031","1",A,103000
"1032","1",A,103100
"1033","1",A,103200
"1034","1",A,103300
"1035","1",A,103400
"1036","1",A,103500
"1037","1",A,103600
"1038","1",A,103700
"1039","1",A,103800
"1040","1",A,103900
"1041","1",A,104000
"1042","1",A,104100
"1043","1",A,104200
