"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","H_INDEX"
"16649","senegalensis","II","aegyptiaca_senegalensis","1"
"16573","senegalensis","II","aegyptiaca_senegalensis","0"
"16574","senegalensis","II","aegyptiaca_senegalensis","0"
"16575","senegalensis","II","aegyptiaca_senegalensis","1"
"16576","senegalensis","II","aegyptiaca_senegalensis","1"
"16577","senegalensis","II","aegyptiaca_senegalensis","0"
"16578","senegalensis","II","aegyptiaca_senegalensis","0"
"16579","senegalensis","II","aegyptiaca_senegalensis","0"
"16580","senegalensis","II","aegyptiaca_senegalensis","0.273"
"16581","senegalensis","II","aegyptiaca_senegalensis","1"
"16583","senegalensis","II","aegyptiaca_senegalensis","1"
"16584","senegalensis","II","aegyptiaca_senegalensis","1"
"16585","senegalensis","II","aegyptiaca_senegalensis","1"
"16586","senegalensis","II","aegyptiaca_senegalensis","1"
"16587","senegalensis","II","aegyptiaca_senegalensis","0.376"
"16588","senegalensis","II","aegyptiaca_senegalensis","0.37"
"16589","senegalensis","II","aegyptiaca_senegalensis","0.376"
"16590","senegalensis","II","aegyptiaca_senegalensis","0"
"16611","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16612","senegalensis","II","aegyptiaca_senegalensis","1"
"16613","senegalensis","II","aegyptiaca_senegalensis","1"
"16614","senegalensis","II","aegyptiaca_senegalensis","1"
"16617","senegalensis","II","aegyptiaca_senegalensis","0"
"16622","senegalensis","II","aegyptiaca_senegalensis","0"
"16626","senegalensis","II","aegyptiaca_senegalensis","0.372"
"16652","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16653","senegalensis","II","aegyptiaca_senegalensis","0"
"16657","senegalensis","II","aegyptiaca_senegalensis","0"
"16721","senegalensis","II","aegyptiaca_senegalensis","1"
"16724","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16725","senegalensis","II","aegyptiaca_senegalensis","0"
"16726","senegalensis","II","aegyptiaca_senegalensis","0.376"
"16727","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16728","senegalensis","II","aegyptiaca_senegalensis","0"
"16729","senegalensis","II","aegyptiaca_senegalensis","0.276"
"16730","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16731","senegalensis","II","aegyptiaca_senegalensis","0"
"16732","senegalensis","II","aegyptiaca_senegalensis","0"
"16733","senegalensis","II","aegyptiaca_senegalensis","0"
"16734","senegalensis","II","aegyptiaca_senegalensis","0.37"
"16735","senegalensis","II","aegyptiaca_senegalensis","0"
"16736","senegalensis","II","aegyptiaca_senegalensis","0"
"16737","senegalensis","II","aegyptiaca_senegalensis","0"
"16661","senegalensis","II","aegyptiaca_senegalensis","0"
"16662","senegalensis","II","aegyptiaca_senegalensis","0"
"16663","senegalensis","II","aegyptiaca_senegalensis","1"
"16664","senegalensis","II","aegyptiaca_senegalensis","0"
"16665","senegalensis","II","aegyptiaca_senegalensis","0.37"
"16666","senegalensis","II","aegyptiaca_senegalensis","1"
"16667","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16669","senegalensis","II","aegyptiaca_senegalensis","0.372"
"16670","senegalensis","II","aegyptiaca_senegalensis","0"
"16692","senegalensis","II","aegyptiaca_senegalensis","0"
"16693","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16694","senegalensis","II","aegyptiaca_senegalensis","1"
"16695","senegalensis","II","aegyptiaca_senegalensis","0"
"16696","senegalensis","II","aegyptiaca_senegalensis","0"
"16697","senegalensis","II","aegyptiaca_senegalensis","1"
"16698","senegalensis","II","aegyptiaca_senegalensis","0"
"16699","senegalensis","II","aegyptiaca_senegalensis","1"
"16700","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16701","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16702","senegalensis","II","aegyptiaca_senegalensis","0"
"16704","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16705","senegalensis","II","aegyptiaca_senegalensis","0.579"
"16706","senegalensis","II","aegyptiaca_senegalensis","0"
"16707","senegalensis","II","aegyptiaca_senegalensis","0"
"16708","senegalensis","II","aegyptiaca_senegalensis","0.551"
